"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.977772500E0,1.323397980E0,5.754782867E0,5.976471863E0,8.401614368E0
1.987851500E0,1.340911560E0,4.382137299E0,6.508465576E0,7.959980859E0
1.997930500E0,1.123413849E0,2.980302429E0,7.234156494E0,7.904257171E0
2.008009500E0,1.725312195E0,1.162632294E0,8.242908783E0,8.501409367E0
2.018088500E0,2.727627869E0,3.018772430E0,8.150251465E0,9.109310606E0
2.028167500E0,2.702779541E0,5.351820831E0,7.148534546E0,9.329981222E0
2.038247500E0,3.344046021E0,6.633605347E0,7.059918823E0,1.024840561E1
2.048326500E0,4.607867889E0,6.938670959E0,6.591393127E0,1.062186728E1
2.058405500E0,4.195325775E0,6.351741486E0,5.589376831E0,9.443861055E0
2.068484500E0,3.415148163E0,5.534740448E0,6.095175018E0,8.913346583E0
2.078563500E0,4.285887451E0,4.961881714E0,7.117548981E0,9.677220927E0
2.088643500E0,3.692671051E0,4.189637604E0,8.434210968E0,1.011557203E1
2.098722500E0,3.744613037E0,4.110751648E0,9.361382904E0,1.088833760E1
2.108801500E0,4.042493591E0,4.233346710E0,9.449250183E0,1.111536359E1
2.118880500E0,3.621568909E0,4.311334534E0,9.667496338E0,1.118766518E1
2.128959500E0,2.728376312E0,4.439917145E0,9.463769989E0,1.080369585E1
2.139039500E0,2.871778107E0,4.981940002E0,8.800798645E0,1.051289173E1
2.149118500E0,3.450474701E0,5.388195190E0,8.333021393E0,1.050607770E1
2.159197500E0,3.940555573E0,5.673950958E0,7.653733978E0,1.031025419E1
2.169276500E0,3.860322418E0,5.689668274E0,6.396947479E0,9.391238006E0
2.179355500E0,3.633094940E0,5.691314850E0,6.867568817E0,9.630884955E0
2.189435500E0,3.624562683E0,5.417085114E0,7.328610077E0,9.807690423E0
2.199514500E0,3.254532166E0,5.086722107E0,7.629035339E0,9.729794531E0
2.209593500E0,2.948568420E0,4.997956696E0,7.885452118E0,9.790504684E0
2.219672500E0,3.000211029E0,5.121749268E0,8.311166840E0,1.021318148E1
2.229751500E0,2.742147675E0,5.087620239E0,9.180558929E0,1.084831396E1
2.239831500E0,2.679278412E0,5.088967438E0,9.512718201E0,1.111611128E1
2.249910500E0,2.553090820E0,4.821473694E0,8.712781677E0,1.027995359E1
2.259989500E0,2.421813812E0,4.579277344E0,7.841293945E0,9.397917528E0
2.270068500E0,1.952839050E0,4.678371277E0,7.947423248E0,9.426678866E0
2.280147500E0,1.280587006E0,4.530628510E0,7.817194061E0,9.125514822E0
2.290227500E0,8.665480042E-1,4.381837921E0,7.618706818E0,8.831540216E0
2.300306500E0,5.727090454E-1,4.281097412E0,7.428302765E0,8.592756989E0
2.310385500E0,4.110452271E-1,4.221072235E0,7.523355103E0,8.636392823E0
2.320464500E0,6.635700989E-1,4.177363129E0,8.286617889E0,9.303694107E0
2.330543500E0,1.001567230E0,4.020938416E0,9.109905853E0,1.000807011E1
2.340623500E0,1.211430817E0,3.790417786E0,9.546547852E0,1.034269827E1
2.350702500E0,1.339564362E0,3.527714081E0,9.424701233E0,1.015205362E1
2.360781500E0,1.315015411E0,3.292253723E0,9.129215698E0,9.793404892E0
2.370860500E0,1.183289337E0,3.264411621E0,9.078770599E0,9.720114839E0
2.380939500E0,8.978329468E-1,3.418890381E0,9.035809937E0,9.702617000E0
2.391019500E0,1.064436493E0,3.626957703E0,9.048832855E0,9.806590808E0
2.401097917E0,1.234333191E0,3.847149811E0,9.519753571E0,1.034165597E1
2.411176917E0,5.550457764E-1,3.935615845E0,1.001088226E1,1.077102184E1
2.421255917E0,-6.719526672E-1,3.464246063E0,1.014335678E1,1.073965586E1
2.431334917E0,-1.376387787E0,2.451901245E0,9.859846344E0,1.025294265E1
2.441414917E0,-1.180445251E0,1.960473175E0,9.223220215E0,9.502878364E0
2.451493917E0,7.003935242E-1,3.110830994E0,8.381819916E0,8.967871858E0
2.461572917E0,1.271755371E0,4.148323517E0,8.809630280E0,9.820159642E0
2.471651917E0,6.965016174E-1,4.166585541E0,9.792486420E0,1.066481785E1
2.481730917E0,-5.927673340E-2,3.457510071E0,9.443262634E0,1.005649535E1
2.491810917E0,-1.481918335E-1,2.729873199E0,9.363777924E0,9.754717090E0
2.501889917E0,3.432362366E-1,2.538720703E0,9.162745972E0,9.514138304E0
2.511968917E0,8.138575745E-1,2.547402649E0,9.450447693E0,9.821536845E0
2.522047917E0,8.562194824E-1,2.571951599E0,1.011566437E1,1.047256952E1
2.532126917E0,1.084195404E0,2.733316040E0,1.019724472E1,1.061274216E1
2.542206917E0,9.056167603E-1,2.975362701E0,1.004755600E1,1.051790409E1
2.552285917E0,6.417155457E-1,3.263363800E0,9.890981598E0,1.043517413E1
2.562364917E0,6.167175293E-1,3.498375092E0,9.767787781E0,1.039368303E1
2.572443917E0,5.530998230E-1,3.570824432E0,9.531578979E0,1.019351286E1
2.582522917E0,4.766088867E-1,3.488345947E0,9.217532043E0,9.867046693E0
2.592602917E0,5.043013000E-1,3.418141937E0,9.007967834E0,9.647875342E0
2.602681917E0,6.113287354E-1,3.671115875E0,8.782985687E0,9.538954459E0
2.612760917E0,8.881031799E-1,4.139641571E0,8.580456848E0,9.568155481E0
2.622839917E0,1.096170502E0,4.363126831E0,8.660390625E0,9.759140909E0
2.632918917E0,1.092877350E0,4.381089478E0,8.780440979E0,9.873422390E0
2.642998917E0,1.104852448E0,4.393214264E0,8.635392609E0,9.751463275E0
2.653077917E0,1.362317047E0,4.366869049E0,8.205486603E0,9.394437898E0
2.663156917E0,1.872007141E0,4.416865082E0,8.243357849E0,9.537612726E0
2.673235917E0,2.112407227E0,4.496349792E0,8.316855011E0,9.687595317E0
2.683314917E0,1.856439514E0,4.452341309E0,8.220305786E0,9.531166666E0
2.693393917E0,1.396895142E0,4.137845306E0,8.642278290E0,9.683080804E0
2.703473917E0,1.043929138E0,3.840114441E0,9.003776550E0,9.843996096E0
2.713552917E0,9.660910034E-1,3.757785645E0,9.019793243E0,9.818908031E0
2.723631917E0,1.019380188E0,3.829785919E0,9.159303131E0,9.979941383E0
2.733710917E0,1.123413849E0,3.855831757E0,9.206455078E0,1.004431741E1
2.743789917E0,1.256487122E0,3.854933624E0,9.033714294E0,9.901881997E0
2.753869917E0,1.223405914E0,3.797453156E0,8.953181763E0,9.801879217E0
2.763948917E0,1.034049683E0,3.674558716E0,9.154513092E0,9.918505455E0
2.774027917E0,9.334588623E-1,3.628604279E0,9.406439209E0,1.012517719E1
2.784106917E0,1.103505249E0,3.679648132E0,9.433083801E0,1.018531316E1
2.794186917E0,1.260528717E0,3.778442688E0,9.365723877E0,1.017754123E1
2.804265917E0,1.295855255E0,3.831881561E0,9.438023529E0,1.026834190E1
2.814344917E0,1.289568329E0,3.847598877E0,9.456734619E0,1.029061870E1
2.824423917E0,1.352587280E0,3.824995880E0,9.309291229E0,1.015494899E1
2.834502917E0,1.345851288E0,3.832031250E0,9.266031189E0,1.011707039E1
2.844582917E0,1.411714325E0,3.883823547E0,9.306746521E0,1.018295406E1
2.854661917E0,1.476828918E0,3.951482849E0,9.278455353E0,1.019239786E1
2.864740917E0,1.376387787E0,4.046535187E0,9.308991852E0,1.024335002E1
2.874819917E0,1.345402222E0,4.064497833E0,9.308542786E0,1.024593669E1
2.884898917E0,1.256487122E0,4.017046509E0,9.228459320E0,1.014297215E1
2.894977917E0,1.232536926E0,3.963308258E0,9.191037140E0,1.008474706E1
2.905057917E0,1.419947205E0,3.983665924E0,9.174272003E0,1.010213398E1
2.915136917E0,1.555714874E0,4.083358612E0,9.018595734E0,1.002143380E1
2.925215917E0,1.501377869E0,4.084705811E0,8.844657440E0,9.857328355E0
2.935294917E0,1.432670746E0,4.020339661E0,8.875792694E0,9.848622868E0
2.945373917E0,1.331032104E0,4.048930206E0,8.982670441E0,9.942527371E0
2.955453917E0,1.175804901E0,4.145329742E0,9.018446045E0,9.994930960E0
2.965532917E0,1.016087036E0,4.208797760E0,9.078770599E0,1.005835409E1
2.975611917E0,9.544152832E-1,4.206253052E0,9.129215698E0,1.009683379E1
2.985690917E0,1.087638245E0,4.184248810E0,9.023385773E0,1.000561771E1
2.995769917E0,1.324146423E0,4.252506866E0,8.915759583E0,9.966340719E0
3.005849917E0,1.439556427E0,4.393214264E0,8.908724213E0,1.003683323E1
3.015928917E0,1.470841370E0,4.501439209E0,8.816216583E0,1.000759732E1
3.026007917E0,1.561103668E0,4.520749054E0,8.576864319E0,9.820224957E0
3.036086917E0,1.551074524E0,4.571044464E0,8.445287933E0,9.727444060E0
3.046165917E0,1.540147247E0,4.685855713E0,8.330326996E0,9.681097312E0
3.056245917E0,1.601968689E0,4.813989258E0,8.323890381E0,9.748227907E0
3.066324917E0,1.722767487E0,4.906945953E0,8.373437347E0,9.857002557E0
3.076403917E0,1.751657410E0,4.887785797E0,8.398435364E0,9.873827537E0
3.086482917E0,1.764081573E0,4.815935211E0,8.468489685E0,9.900531971E0
3.096561917E0,1.764680328E0,4.772525482E0,8.513096924E0,9.917858407E0
3.106641917E0,1.722468109E0,4.765939178E0,8.551566925E0,9.940340513E0
3.116720917E0,1.653012543E0,4.742138672E0,8.565338287E0,9.929015542E0
3.126799917E0,1.598226471E0,4.770130463E0,8.582402802E0,9.948171205E0
3.136878917E0,1.609752502E0,4.823868713E0,8.546776886E0,9.945270616E0
3.146957917E0,1.632355499E0,4.850064240E0,8.331674194E0,9.777755493E0
3.157037917E0,1.546134796E0,4.875810699E0,8.282426605E0,9.734611099E0
3.167116917E0,1.334474945E0,4.923860779E0,8.430319061E0,9.853705284E0
3.177195917E0,1.135987701E0,5.014272766E0,8.648116150E0,1.006097969E1
3.187274917E0,1.232387238E0,5.106780396E0,8.585246887E0,1.006501110E1
3.197353917E0,1.444196777E0,5.142256622E0,8.310568085E0,9.878970057E0
3.207433917E0,1.640139313E0,5.115462341E0,8.289461975E0,9.877914343E0
3.217512917E0,1.660047913E0,5.056934052E0,8.198451233E0,9.774607086E0
3.227591917E0,1.599873047E0,5.041216736E0,8.153544617E0,9.718731901E0
3.237670917E0,1.297501831E0,5.123844910E0,8.169261932E0,9.730063627E0
